id,material,quantity,source,carbon_savings,project_location,used_in_project,date_added
4925,Bamboo Fiber,659,EarthInnovations,2204.81,Austin,Yes,2023-01-11
4926,Hempcrete,818,EarthInnovations,3209.82,Los Angeles,No,2023-08-06
4927,Hempcrete,975,EcoCement Co.,4260.53,San Francisco,No,2023-05-02
4928,Straw Bale,247,PlasticCycle,1081.3,Denver,No,2023-08-29
4929,Bamboo Fiber,814,GreenBuild Ltd.,3516.15,Miami,Yes,2023-06-02
4930,Geopolymer,548,Sustainable Works,1533.94,Chicago,No,2023-06-26
4931,Geopolymer,984,GreenBuild Ltd.,2098.49,Chicago,No,2023-09-26
4932,Bamboo Fiber,883,EarthInnovations,3893.12,San Francisco,Yes,2023-03-09
4933,Bamboo Fiber,709,EcoCement Co.,3411.21,Houston,Yes,2023-06-10
4934,Bamboo Fiber,439,NatureBricks,1421.29,Miami,Yes,2023-07-25
4935,Straw Bale,549,Sustainable Works,2690.15,Denver,Yes,2023-01-15
4936,Bamboo Fiber,339,EcoCement Co.,1003.7,Seattle,No,2023-04-16
4937,Straw Bale,880,Sustainable Works,2356.85,San Francisco,Yes,2023-09-25
4938,Straw Bale,375,EcoCement Co.,1261.83,Los Angeles,No,2023-07-25
4939,Rammed Earth,377,EarthInnovations,1116.63,Austin,Yes,2023-09-01
4940,Straw Bale,219,Sustainable Works,1064.48,Boston,Yes,2023-12-21
4941,Recycled Plastic,422,Sustainable Works,1927.79,Boston,Yes,2023-01-05
4942,Straw Bale,745,GreenBuild Ltd.,1712.96,Los Angeles,No,2023-05-05
4943,Rammed Earth,466,GreenBuild Ltd.,1176.14,New York,No,2023-04-16
4944,Rammed Earth,186,GreenBuild Ltd.,386.37,Denver,No,2023-04-05
4945,Recycled Plastic,557,PlasticCycle,2565.07,Miami,Yes,2023-04-05
4946,Straw Bale,782,NatureBricks,2080.38,Houston,No,2023-07-23
4947,Rammed Earth,848,EarthInnovations,3964.62,Denver,Yes,2023-10-07
4948,Geopolymer,931,EarthInnovations,3599.72,Miami,Yes,2023-04-14
4949,Hempcrete,689,EcoCement Co.,1760.27,Austin,No,2023-02-10
4950,Recycled Plastic,360,EarthInnovations,1089.53,Miami,Yes,2023-11-29
4951,Bamboo Fiber,271,NatureBricks,713.81,Boston,Yes,2023-08-12
4952,Geopolymer,217,PlasticCycle,514.44,Boston,No,2023-03-06
4953,Straw Bale,372,PlasticCycle,949.9,San Francisco,No,2023-03-31
4954,Straw Bale,652,EcoCement Co.,2695.06,Boston,No,2023-03-29
4955,Hempcrete,865,GreenBuild Ltd.,3520.27,Houston,Yes,2023-03-19
4956,Bamboo Fiber,335,EcoCement Co.,1407.3,Miami,No,2023-04-10
4957,Straw Bale,702,EcoCement Co.,2421.27,Austin,Yes,2023-07-11
4958,Hempcrete,762,EcoCement Co.,3282.08,San Francisco,Yes,2023-01-29
4959,Recycled Plastic,674,NatureBricks,1613.6,New York,Yes,2023-01-17
4960,Straw Bale,867,PlasticCycle,3748.13,Denver,No,2023-01-25
4961,Rammed Earth,910,NatureBricks,3988.0,Seattle,No,2023-07-03
4962,Bamboo Fiber,715,GreenBuild Ltd.,1848.66,Miami,No,2023-02-15
4963,Rammed Earth,876,EarthInnovations,3400.52,Seattle,No,2023-04-30
4964,Straw Bale,842,EarthInnovations,3974.06,Denver,No,2023-08-20
4965,Straw Bale,207,EcoCement Co.,707.85,San Francisco,Yes,2023-07-04
4966,Hempcrete,907,NatureBricks,3698.84,Boston,No,2023-03-30
4967,Rammed Earth,245,GreenBuild Ltd.,592.78,Chicago,Yes,2023-08-24
4968,Straw Bale,563,PlasticCycle,2809.51,Houston,No,2023-04-29
4969,Straw Bale,498,NatureBricks,1161.7,Boston,Yes,2023-06-04
4970,Straw Bale,169,Sustainable Works,353.58,Seattle,No,2023-02-16
4971,Rammed Earth,602,GreenBuild Ltd.,2009.7,Los Angeles,No,2023-03-27
4972,Rammed Earth,960,EarthInnovations,2053.75,New York,No,2023-06-25
4973,Straw Bale,318,EcoCement Co.,1211.16,Austin,Yes,2023-09-09
4974,Bamboo Fiber,682,PlasticCycle,2270.74,San Francisco,No,2023-04-12
4975,Bamboo Fiber,168,Sustainable Works,736.31,San Francisco,Yes,2023-03-21
4976,Bamboo Fiber,697,EarthInnovations,2957.83,New York,No,2023-01-17
4977,Hempcrete,693,PlasticCycle,1681.57,Denver,No,2023-01-27
4978,Geopolymer,992,PlasticCycle,2446.8,Boston,No,2023-12-30
4979,Bamboo Fiber,580,PlasticCycle,2418.1,Austin,Yes,2023-08-16
4980,Hempcrete,807,EcoCement Co.,1745.54,San Francisco,Yes,2023-01-26
4981,Recycled Plastic,427,EcoCement Co.,1033.22,Chicago,Yes,2023-12-08
4982,Bamboo Fiber,578,NatureBricks,2229.28,Chicago,No,2023-09-13
4983,Bamboo Fiber,773,EcoCement Co.,2289.42,Boston,Yes,2023-05-11
4984,Geopolymer,697,Sustainable Works,2312.91,Miami,Yes,2023-12-11
4985,Straw Bale,654,EcoCement Co.,2911.8,Los Angeles,Yes,2023-01-04
4986,Hempcrete,372,EcoCement Co.,872.02,Houston,Yes,2023-03-14
4987,Rammed Earth,553,PlasticCycle,1814.11,Houston,No,2023-08-24
4988,Recycled Plastic,119,GreenBuild Ltd.,589.06,San Francisco,No,2023-09-21
4989,Rammed Earth,562,EarthInnovations,1735.84,Austin,Yes,2023-10-12
4990,Rammed Earth,258,Sustainable Works,731.59,Miami,Yes,2023-03-20
4991,Rammed Earth,598,Sustainable Works,1904.94,New York,No,2023-09-11
4992,Bamboo Fiber,148,PlasticCycle,562.9,Los Angeles,Yes,2023-07-01
4993,Hempcrete,860,Sustainable Works,2566.64,New York,Yes,2023-07-25
4994,Geopolymer,978,EcoCement Co.,4075.13,Seattle,Yes,2023-06-18
4995,Geopolymer,243,NatureBricks,1132.75,Chicago,No,2023-09-04
4996,Geopolymer,913,EcoCement Co.,3313.45,Miami,Yes,2023-05-26
4997,Straw Bale,382,NatureBricks,1829.67,Boston,No,2023-04-18
4998,Recycled Plastic,369,Sustainable Works,1180.09,Seattle,Yes,2023-04-02
4999,Bamboo Fiber,800,EarthInnovations,1874.66,New York,Yes,2023-02-08
5000,Hempcrete,136,NatureBricks,550.77,Los Angeles,No,2023-01-28
5001,Straw Bale,418,EcoCement Co.,1541.77,Denver,Yes,2023-12-08
5002,Bamboo Fiber,657,PlasticCycle,3215.67,San Francisco,No,2023-02-08
5003,Hempcrete,197,PlasticCycle,633.58,San Francisco,Yes,2023-06-14
5004,Straw Bale,217,EcoCement Co.,914.44,Chicago,Yes,2023-03-22
5005,Geopolymer,433,Sustainable Works,1178.05,Miami,No,2023-12-01
5006,Geopolymer,722,NatureBricks,2524.35,San Francisco,No,2023-10-23
5007,Recycled Plastic,535,Sustainable Works,1827.04,Seattle,No,2023-09-10
5008,Rammed Earth,653,EarthInnovations,2262.92,New York,No,2023-05-16
5009,Rammed Earth,298,GreenBuild Ltd.,1346.98,Miami,No,2023-02-25
5010,Recycled Plastic,765,GreenBuild Ltd.,2743.87,Chicago,Yes,2023-09-20
5011,Hempcrete,728,EarthInnovations,1719.54,Boston,Yes,2023-08-23
5012,Geopolymer,333,EarthInnovations,1459.83,Miami,No,2023-08-13
5013,Recycled Plastic,637,EcoCement Co.,2581.3,Chicago,No,2023-12-19
5014,Recycled Plastic,155,Sustainable Works,421.08,Los Angeles,No,2023-12-27
5015,Bamboo Fiber,896,NatureBricks,2453.87,San Francisco,Yes,2023-06-14
5016,Recycled Plastic,942,Sustainable Works,3294.1,Boston,Yes,2023-01-13
5017,Rammed Earth,351,PlasticCycle,1195.04,Denver,No,2023-08-31
5018,Rammed Earth,279,EcoCement Co.,1342.06,Chicago,Yes,2023-04-13
5019,Rammed Earth,600,PlasticCycle,2995.79,Boston,No,2023-04-10
5020,Hempcrete,780,Sustainable Works,2487.83,Denver,No,2023-09-25
5021,Rammed Earth,416,NatureBricks,1414.51,New York,No,2023-03-21
5022,Straw Bale,352,EcoCement Co.,1164.31,Austin,No,2023-05-09
5023,Straw Bale,713,PlasticCycle,2452.06,Houston,Yes,2023-03-19
5024,Bamboo Fiber,466,EarthInnovations,1575.94,Houston,Yes,2023-05-28
5025,Geopolymer,293,GreenBuild Ltd.,915.61,San Francisco,No,2023-03-26
5026,Bamboo Fiber,158,EarthInnovations,642.75,Seattle,Yes,2023-03-03
5027,Hempcrete,619,GreenBuild Ltd.,1681.31,Austin,No,2023-05-19
5028,Hempcrete,927,EcoCement Co.,4109.27,Houston,Yes,2023-08-21
5029,Rammed Earth,999,EarthInnovations,4868.91,Miami,No,2023-09-28
5030,Bamboo Fiber,975,Sustainable Works,4744.75,Chicago,Yes,2023-01-31
5031,Recycled Plastic,991,EcoCement Co.,3894.33,Chicago,No,2023-11-04
5032,Bamboo Fiber,457,GreenBuild Ltd.,1452.79,Seattle,No,2023-11-19
5033,Hempcrete,468,Sustainable Works,1117.82,Chicago,No,2023-03-14
5034,Hempcrete,283,Sustainable Works,1243.4,Austin,No,2023-01-24
5035,Hempcrete,385,NatureBricks,1673.22,Chicago,No,2023-04-22
5036,Hempcrete,794,EcoCement Co.,3417.16,Austin,Yes,2023-02-26
5037,Recycled Plastic,109,EarthInnovations,423.08,Denver,No,2023-09-04
5038,Straw Bale,316,NatureBricks,1192.68,Miami,Yes,2023-12-12
5039,Straw Bale,581,Sustainable Works,2543.35,New York,No,2023-09-05
5040,Hempcrete,991,Sustainable Works,2038.64,Seattle,No,2023-06-29
5041,Recycled Plastic,645,EarthInnovations,2646.35,New York,Yes,2023-06-13
5042,Rammed Earth,117,Sustainable Works,528.26,Austin,No,2023-08-19
5043,Bamboo Fiber,636,PlasticCycle,3055.06,Houston,Yes,2023-01-28
5044,Recycled Plastic,142,Sustainable Works,520.71,Chicago,Yes,2023-06-03
5045,Recycled Plastic,135,Sustainable Works,384.21,Los Angeles,Yes,2023-07-18
5046,Geopolymer,222,NatureBricks,837.04,Boston,Yes,2023-02-07
5047,Bamboo Fiber,304,EcoCement Co.,1469.78,Seattle,No,2023-12-12
5048,Rammed Earth,164,EcoCement Co.,722.99,Seattle,Yes,2023-08-23
5049,Straw Bale,827,PlasticCycle,1766.14,Seattle,No,2023-10-06
5050,Geopolymer,201,GreenBuild Ltd.,413.73,Houston,No,2023-08-24
5051,Bamboo Fiber,460,EarthInnovations,2244.44,Los Angeles,No,2023-09-10
5052,Rammed Earth,922,EarthInnovations,2156.55,Boston,No,2023-11-10
5053,Bamboo Fiber,405,EcoCement Co.,1727.76,Austin,Yes,2023-03-26
5054,Rammed Earth,475,EcoCement Co.,1411.84,Seattle,Yes,2023-06-23
5055,Geopolymer,954,EarthInnovations,4014.52,Denver,No,2023-08-17
5056,Rammed Earth,249,PlasticCycle,586.5,Austin,Yes,2023-09-01
5057,Hempcrete,381,Sustainable Works,1145.13,Miami,No,2023-09-02
5058,Geopolymer,276,NatureBricks,982.56,New York,Yes,2023-01-22
5059,Geopolymer,423,EcoCement Co.,1740.59,Los Angeles,No,2023-08-03
5060,Rammed Earth,378,EarthInnovations,1464.88,New York,Yes,2023-03-03
5061,Bamboo Fiber,406,Sustainable Works,1934.37,Miami,No,2023-01-22
5062,Rammed Earth,243,EarthInnovations,895.91,Chicago,Yes,2023-04-07
5063,Recycled Plastic,760,Sustainable Works,3126.39,Los Angeles,No,2023-05-29
5064,Geopolymer,643,PlasticCycle,3163.26,Los Angeles,No,2023-06-01
5065,Recycled Plastic,729,EcoCement Co.,1834.96,Seattle,No,2023-08-07
5066,Recycled Plastic,993,GreenBuild Ltd.,2209.5,Seattle,Yes,2023-03-21
5067,Recycled Plastic,765,PlasticCycle,3439.52,Boston,No,2023-12-15
5068,Rammed Earth,984,EarthInnovations,3728.52,Austin,No,2023-10-09
5069,Straw Bale,151,EcoCement Co.,548.64,New York,No,2023-10-11
5070,Hempcrete,957,NatureBricks,3035.8,Chicago,No,2023-12-20
5071,Straw Bale,683,EcoCement Co.,2434.9,Houston,Yes,2023-07-04
5072,Bamboo Fiber,768,EcoCement Co.,1965.43,Seattle,No,2023-08-02
5073,Hempcrete,705,NatureBricks,3475.38,Austin,Yes,2023-05-19
5074,Rammed Earth,325,EarthInnovations,1598.4,Houston,No,2023-12-17
5075,Recycled Plastic,924,GreenBuild Ltd.,3767.6,Boston,No,2023-09-06
5076,Recycled Plastic,846,Sustainable Works,2810.33,Austin,No,2023-07-07
5077,Straw Bale,728,EarthInnovations,3570.21,Los Angeles,Yes,2023-11-11
5078,Rammed Earth,231,Sustainable Works,923.89,Seattle,Yes,2023-02-01
5079,Rammed Earth,353,GreenBuild Ltd.,1600.74,New York,Yes,2023-05-16
5080,Geopolymer,734,Sustainable Works,1579.43,Los Angeles,Yes,2023-10-02
5081,Straw Bale,383,PlasticCycle,1619.48,Denver,Yes,2023-03-21
5082,Bamboo Fiber,284,EarthInnovations,644.17,Miami,Yes,2023-11-22
5083,Rammed Earth,707,NatureBricks,1632.54,Denver,Yes,2023-01-07
5084,Geopolymer,752,GreenBuild Ltd.,1804.46,Los Angeles,No,2023-05-06
5085,Hempcrete,195,NatureBricks,770.51,New York,Yes,2023-01-24
5086,Bamboo Fiber,849,EcoCement Co.,4029.09,Miami,No,2023-10-23
5087,Bamboo Fiber,629,NatureBricks,3061.24,Miami,Yes,2023-08-09
5088,Rammed Earth,236,PlasticCycle,560.27,Denver,No,2023-05-05
5089,Hempcrete,241,NatureBricks,863.75,Miami,No,2023-11-28
5090,Straw Bale,607,EcoCement Co.,1318.29,San Francisco,Yes,2023-03-01
5091,Geopolymer,444,Sustainable Works,1381.12,Seattle,Yes,2023-12-28
5092,Rammed Earth,923,EarthInnovations,3382.77,Boston,No,2023-07-08
5093,Recycled Plastic,690,NatureBricks,1605.5,Austin,No,2023-01-02
5094,Recycled Plastic,764,Sustainable Works,1597.55,Los Angeles,No,2023-07-26
5095,Bamboo Fiber,190,EcoCement Co.,886.69,Seattle,Yes,2023-06-22
5096,Bamboo Fiber,415,GreenBuild Ltd.,1910.75,Boston,Yes,2023-07-18
5097,Bamboo Fiber,245,NatureBricks,509.05,San Francisco,Yes,2023-07-19
5098,Straw Bale,320,PlasticCycle,1210.22,New York,Yes,2023-12-22
5099,Geopolymer,671,EarthInnovations,2506.47,Chicago,Yes,2023-03-01
5100,Hempcrete,684,Sustainable Works,1692.29,San Francisco,No,2023-05-26
5101,Straw Bale,211,Sustainable Works,694.1,San Francisco,Yes,2023-11-30
5102,Hempcrete,886,PlasticCycle,4191.03,Austin,No,2023-10-30
5103,Hempcrete,769,NatureBricks,3268.61,Houston,Yes,2023-12-05
5104,Recycled Plastic,301,GreenBuild Ltd.,1206.91,Chicago,Yes,2023-05-01
5105,Rammed Earth,766,Sustainable Works,1855.75,Miami,No,2023-01-25
5106,Bamboo Fiber,708,EcoCement Co.,2819.56,Denver,Yes,2023-12-08
5107,Geopolymer,703,PlasticCycle,3488.74,New York,Yes,2023-09-16
5108,Recycled Plastic,842,GreenBuild Ltd.,2420.21,Los Angeles,Yes,2023-11-27
5109,Recycled Plastic,514,EcoCement Co.,1761.98,Boston,Yes,2023-09-25
5110,Bamboo Fiber,115,PlasticCycle,460.9,Boston,No,2023-04-12
5111,Rammed Earth,591,EarthInnovations,1958.44,Chicago,No,2023-04-24
5112,Hempcrete,313,Sustainable Works,953.76,Austin,Yes,2023-05-29
5113,Bamboo Fiber,949,EarthInnovations,3339.77,Denver,Yes,2023-01-05
5114,Rammed Earth,634,EcoCement Co.,1554.54,New York,No,2023-05-28
5115,Rammed Earth,551,GreenBuild Ltd.,1317.13,New York,Yes,2023-09-29
5116,Bamboo Fiber,788,GreenBuild Ltd.,2972.51,Chicago,Yes,2023-02-13
5117,Recycled Plastic,142,EarthInnovations,586.63,Chicago,No,2023-12-24
5118,Recycled Plastic,654,NatureBricks,2465.85,Boston,Yes,2023-06-30
5119,Hempcrete,712,PlasticCycle,3517.87,Houston,Yes,2023-06-02
5120,Recycled Plastic,428,GreenBuild Ltd.,1074.37,Chicago,Yes,2023-01-03
5121,Bamboo Fiber,479,Sustainable Works,1317.77,Los Angeles,No,2023-02-01
5122,Straw Bale,637,PlasticCycle,1617.29,Los Angeles,No,2023-06-26
5123,Geopolymer,195,GreenBuild Ltd.,645.57,Seattle,No,2023-01-06
5124,Straw Bale,287,GreenBuild Ltd.,722.96,Los Angeles,No,2023-07-10
5125,Hempcrete,693,Sustainable Works,2828.25,Los Angeles,Yes,2023-09-03
5126,Rammed Earth,799,GreenBuild Ltd.,3188.22,Los Angeles,Yes,2023-01-02
5127,Straw Bale,458,NatureBricks,1106.55,Boston,Yes,2023-08-17
5128,Hempcrete,356,PlasticCycle,1003.37,Houston,No,2023-10-31
5129,Bamboo Fiber,309,GreenBuild Ltd.,1467.38,Houston,No,2023-08-18
5130,Recycled Plastic,724,GreenBuild Ltd.,1741.18,Austin,Yes,2023-08-10
5131,Bamboo Fiber,644,EcoCement Co.,1555.93,San Francisco,Yes,2023-07-16
5132,Straw Bale,626,PlasticCycle,3118.87,New York,Yes,2023-11-10
5133,Straw Bale,665,EcoCement Co.,3037.74,New York,No,2023-05-25
5134,Hempcrete,675,Sustainable Works,2370.69,San Francisco,Yes,2023-05-03
5135,Straw Bale,672,NatureBricks,3106.05,San Francisco,Yes,2023-09-06
5136,Bamboo Fiber,683,PlasticCycle,2578.25,Denver,Yes,2023-08-02
5137,Straw Bale,178,EarthInnovations,390.75,Austin,No,2023-08-20
5138,Recycled Plastic,954,PlasticCycle,4545.54,New York,Yes,2023-09-05
5139,Geopolymer,516,EarthInnovations,2315.9,Houston,No,2023-12-25
5140,Hempcrete,390,EcoCement Co.,1278.56,Los Angeles,No,2023-04-26
5141,Bamboo Fiber,116,PlasticCycle,562.6,New York,Yes,2023-05-30
5142,Straw Bale,673,GreenBuild Ltd.,2132.5,Miami,Yes,2023-12-24
5143,Geopolymer,539,EcoCement Co.,1395.23,Seattle,No,2023-05-29
5144,Bamboo Fiber,983,Sustainable Works,4170.73,Austin,Yes,2023-04-02
5145,Rammed Earth,642,Sustainable Works,3158.19,Boston,Yes,2023-12-23
5146,Recycled Plastic,478,EarthInnovations,1847.75,Denver,No,2023-05-28
5147,Rammed Earth,139,PlasticCycle,687.63,San Francisco,Yes,2023-01-16
5148,Geopolymer,295,GreenBuild Ltd.,1094.43,Boston,No,2023-01-27
5149,Hempcrete,864,EcoCement Co.,4034.93,San Francisco,Yes,2023-05-14
5150,Geopolymer,707,Sustainable Works,3530.29,Los Angeles,No,2023-12-22
5151,Recycled Plastic,841,PlasticCycle,2308.7,Seattle,Yes,2023-12-13
5152,Bamboo Fiber,441,PlasticCycle,1366.01,Austin,No,2023-03-29
5153,Geopolymer,996,Sustainable Works,2394.34,Los Angeles,No,2023-11-05
5154,Geopolymer,138,EcoCement Co.,419.11,New York,No,2023-05-28
5155,Bamboo Fiber,992,PlasticCycle,3700.56,Los Angeles,Yes,2023-05-16
5156,Straw Bale,124,GreenBuild Ltd.,541.14,Los Angeles,Yes,2023-11-28
5157,Bamboo Fiber,281,NatureBricks,817.29,Austin,Yes,2023-07-12
5158,Geopolymer,216,PlasticCycle,871.32,Houston,No,2023-01-12
5159,Hempcrete,462,EcoCement Co.,1335.2,Boston,No,2023-10-06
5160,Geopolymer,360,PlasticCycle,817.21,Houston,Yes,2023-07-10
5161,Bamboo Fiber,565,NatureBricks,1144.96,Boston,No,2023-10-12
5162,Recycled Plastic,489,EcoCement Co.,1228.64,Los Angeles,Yes,2023-01-15
5163,Geopolymer,679,EcoCement Co.,1873.69,Chicago,Yes,2023-03-06
5164,Geopolymer,698,EcoCement Co.,1455.67,San Francisco,No,2023-12-27
5165,Rammed Earth,218,Sustainable Works,494.13,Chicago,Yes,2023-09-26
5166,Recycled Plastic,519,Sustainable Works,1381.65,Chicago,No,2023-08-13
5167,Rammed Earth,740,Sustainable Works,1677.1,Austin,Yes,2023-09-20
5168,Recycled Plastic,587,NatureBricks,2438.49,Seattle,No,2023-01-31
5169,Bamboo Fiber,813,NatureBricks,1790.72,Los Angeles,Yes,2023-12-04
5170,Recycled Plastic,398,Sustainable Works,1916.08,Austin,Yes,2023-06-24
5171,Geopolymer,568,GreenBuild Ltd.,2434.89,Chicago,Yes,2023-11-06
5172,Geopolymer,420,Sustainable Works,1037.93,Chicago,Yes,2023-07-18
5173,Straw Bale,445,Sustainable Works,1700.91,New York,Yes,2023-03-29
5174,Hempcrete,727,EarthInnovations,3010.32,Boston,No,2023-03-11
5175,Rammed Earth,926,EarthInnovations,2994.81,Los Angeles,No,2023-11-27
5176,Geopolymer,896,Sustainable Works,2439.88,Boston,Yes,2023-05-04
5177,Straw Bale,399,Sustainable Works,866.85,Boston,No,2023-05-22
5178,Rammed Earth,177,NatureBricks,514.7,New York,No,2023-05-21
5179,Straw Bale,839,EcoCement Co.,2555.41,Denver,Yes,2023-07-20
5180,Recycled Plastic,629,PlasticCycle,2827.71,Houston,Yes,2023-09-13
5181,Rammed Earth,298,GreenBuild Ltd.,1280.53,Chicago,Yes,2023-08-27
5182,Bamboo Fiber,268,EcoCement Co.,722.06,Miami,Yes,2023-08-14
5183,Straw Bale,532,PlasticCycle,1809.22,Los Angeles,Yes,2023-11-08
5184,Rammed Earth,106,EarthInnovations,446.99,New York,No,2023-06-23
5185,Recycled Plastic,733,Sustainable Works,2948.36,Denver,No,2023-03-19
5186,Hempcrete,234,Sustainable Works,661.56,Seattle,Yes,2023-10-04
5187,Recycled Plastic,731,EarthInnovations,2305.47,San Francisco,No,2023-08-19
5188,Bamboo Fiber,140,EarthInnovations,428.69,Austin,No,2023-04-30
5189,Bamboo Fiber,660,EarthInnovations,1891.27,Houston,Yes,2023-07-29
5190,Rammed Earth,966,GreenBuild Ltd.,2114.02,New York,Yes,2023-02-16
5191,Geopolymer,253,PlasticCycle,624.19,Austin,Yes,2023-10-27
5192,Straw Bale,719,EcoCement Co.,2943.2,San Francisco,No,2023-10-05
5193,Geopolymer,727,NatureBricks,2184.7,Seattle,Yes,2023-12-10
5194,Rammed Earth,807,NatureBricks,2736.45,Seattle,Yes,2023-04-22
5195,Straw Bale,229,EcoCement Co.,605.33,Chicago,Yes,2023-01-07
5196,Straw Bale,228,NatureBricks,1105.16,Austin,Yes,2023-04-10
5197,Geopolymer,962,Sustainable Works,2696.79,Austin,Yes,2023-08-26
5198,Geopolymer,231,Sustainable Works,698.22,Los Angeles,Yes,2023-07-28
5199,Recycled Plastic,410,Sustainable Works,1521.82,Denver,Yes,2023-09-23
5200,Bamboo Fiber,577,NatureBricks,1315.39,Los Angeles,No,2023-12-26
5201,Hempcrete,626,NatureBricks,2412.14,San Francisco,No,2023-07-21
5202,Hempcrete,801,GreenBuild Ltd.,3380.92,Denver,Yes,2023-09-12
5203,Rammed Earth,526,NatureBricks,2278.78,San Francisco,No,2023-10-12
5204,Hempcrete,242,EcoCement Co.,1022.31,Los Angeles,No,2023-01-13
5205,Straw Bale,572,GreenBuild Ltd.,1360.38,Miami,Yes,2023-09-12
5206,Rammed Earth,559,NatureBricks,2385.68,Los Angeles,Yes,2023-07-15
5207,Hempcrete,616,EarthInnovations,2344.33,Chicago,Yes,2023-06-11
5208,Geopolymer,110,PlasticCycle,303.41,Los Angeles,Yes,2023-12-12
5209,Geopolymer,350,GreenBuild Ltd.,1563.56,Boston,Yes,2023-03-06
5210,Rammed Earth,494,EcoCement Co.,1016.61,Boston,No,2023-08-12
5211,Hempcrete,265,EcoCement Co.,629.91,New York,Yes,2023-08-13
5212,Bamboo Fiber,501,EcoCement Co.,1388.78,Chicago,No,2023-03-26
5213,Bamboo Fiber,741,GreenBuild Ltd.,2798.77,New York,Yes,2023-01-05
5214,Hempcrete,803,Sustainable Works,3825.77,Los Angeles,No,2023-08-23
5215,Hempcrete,170,EcoCement Co.,832.38,Los Angeles,No,2024-01-01
5216,Recycled Plastic,870,NatureBricks,3050.92,Boston,No,2023-09-11
5217,Hempcrete,882,EarthInnovations,4368.86,Houston,No,2023-03-20
5218,Rammed Earth,291,NatureBricks,1117.92,Denver,Yes,2023-01-19
5219,Hempcrete,359,Sustainable Works,994.63,Boston,No,2023-08-19
5220,Hempcrete,387,NatureBricks,1634.14,Austin,Yes,2023-02-04
5221,Recycled Plastic,195,NatureBricks,639.56,Houston,Yes,2023-09-23
5222,Bamboo Fiber,363,Sustainable Works,782.18,San Francisco,No,2023-08-03
5223,Geopolymer,891,Sustainable Works,2526.86,Boston,No,2023-04-12
5224,Straw Bale,316,GreenBuild Ltd.,747.34,Chicago,Yes,2023-02-13
5225,Rammed Earth,607,Sustainable Works,1351.4,Los Angeles,Yes,2023-07-07
5226,Straw Bale,398,PlasticCycle,1487.97,Seattle,No,2023-04-18
5227,Recycled Plastic,788,EarthInnovations,2284.3,Denver,Yes,2023-04-18
5228,Recycled Plastic,611,PlasticCycle,1407.54,Miami,No,2023-11-21
5229,Geopolymer,247,EcoCement Co.,1224.36,Miami,Yes,2023-01-27
5230,Straw Bale,481,EarthInnovations,1817.84,Miami,Yes,2023-02-08
5231,Rammed Earth,546,EcoCement Co.,1205.19,New York,Yes,2023-06-21
5232,Straw Bale,737,EcoCement Co.,3681.45,Los Angeles,No,2023-09-21
5233,Recycled Plastic,553,Sustainable Works,2435.42,San Francisco,No,2023-12-15
5234,Rammed Earth,427,EarthInnovations,974.3,New York,Yes,2023-04-12
5235,Bamboo Fiber,412,PlasticCycle,836.15,Los Angeles,No,2023-05-23
5236,Hempcrete,878,GreenBuild Ltd.,1898.1,Seattle,Yes,2023-11-13
5237,Straw Bale,289,EcoCement Co.,988.64,Los Angeles,Yes,2023-08-07
5238,Rammed Earth,815,EcoCement Co.,4069.16,Los Angeles,No,2023-06-22
5239,Bamboo Fiber,199,Sustainable Works,525.88,Denver,No,2023-11-14
5240,Straw Bale,279,GreenBuild Ltd.,1285.0,San Francisco,No,2023-04-26
5241,Hempcrete,155,NatureBricks,722.7,San Francisco,Yes,2023-09-27
5242,Bamboo Fiber,358,EarthInnovations,982.5,Denver,No,2023-04-27
5243,Rammed Earth,107,PlasticCycle,503.23,Los Angeles,Yes,2023-07-17
5244,Rammed Earth,120,PlasticCycle,296.98,New York,No,2023-05-26
5245,Hempcrete,284,PlasticCycle,917.57,Seattle,No,2023-04-23
5246,Bamboo Fiber,730,EcoCement Co.,3641.68,Houston,Yes,2023-06-05
5247,Geopolymer,439,NatureBricks,1252.72,Houston,Yes,2023-10-20
5248,Straw Bale,912,EarthInnovations,2692.54,Boston,No,2023-06-19
5249,Straw Bale,158,EarthInnovations,361.8,Seattle,Yes,2023-09-19
5250,Recycled Plastic,622,GreenBuild Ltd.,1410.24,Denver,No,2023-12-15
5251,Straw Bale,935,EarthInnovations,3538.64,Miami,Yes,2023-05-16
5252,Recycled Plastic,300,GreenBuild Ltd.,1467.18,Seattle,No,2023-12-30
5253,Rammed Earth,662,GreenBuild Ltd.,1401.68,Seattle,Yes,2023-04-03
5254,Bamboo Fiber,495,PlasticCycle,1192.89,Houston,No,2023-12-04
5255,Geopolymer,796,NatureBricks,1912.12,Austin,Yes,2023-02-26
5256,Bamboo Fiber,247,EcoCement Co.,893.88,Seattle,No,2023-12-23
5257,Rammed Earth,352,PlasticCycle,1168.8,New York,Yes,2023-12-27
5258,Rammed Earth,586,EcoCement Co.,1665.03,New York,No,2023-10-15
5259,Hempcrete,292,Sustainable Works,1095.87,Seattle,No,2023-10-27
5260,Hempcrete,444,EarthInnovations,1791.72,New York,Yes,2023-03-11
5261,Geopolymer,523,EcoCement Co.,1988.66,Los Angeles,No,2023-01-09
5262,Recycled Plastic,927,EcoCement Co.,3496.6,Chicago,No,2023-05-25
5263,Bamboo Fiber,374,EcoCement Co.,1255.77,Denver,No,2023-10-13
